instance_name,num_jobs,num_machines,makespan,optimality_gap,optimum,upper_bound,lower_bound
abz5,10,10,1334,1.0810372771474879,1234.0,1234,1234
abz6,10,10,989,1.048780487804878,943.0,943,943
abz7,20,15,799,1.2179878048780488,656.0,656,656
abz8,20,15,826,1.2610687022900764,,665,645
abz9,20,15,863,1.2728613569321534,678.0,678,678
ft06,6,6,59,1.0727272727272728,55.0,55,55
ft10,10,10,1139,1.2247311827956988,930.0,930,930
ft20,20,5,1641,1.4085836909871245,1165.0,1165,1165
la01,10,5,678,1.018018018018018,666.0,666,666
la02,10,5,783,1.1954198473282442,655.0,655,655
la03,10,5,735,1.2311557788944723,597.0,597,597
la04,10,5,696,1.1796610169491526,590.0,590,590
la05,10,5,593,1.0,593.0,593,593
la06,15,5,926,1.0,926.0,926,926
la07,15,5,961,1.0797752808988763,890.0,890,890
la08,15,5,972,1.1263035921205098,863.0,863,863
la09,15,5,951,1.0,951.0,951,951
la10,15,5,958,1.0,958.0,958,958
la11,20,5,1295,1.0597381342062193,1222.0,1222,1222
la12,20,5,1118,1.0760346487006738,1039.0,1039,1039
la13,20,5,1150,1.0,1150.0,1150,1150
la14,20,5,1292,1.0,1292.0,1292,1292
la15,20,5,1384,1.1466445733222868,1207.0,1207,1207
la16,10,10,1056,1.1174603174603175,945.0,945,945
la17,10,10,838,1.0688775510204083,784.0,784,784
la18,10,10,997,1.1757075471698113,848.0,848,848
la19,10,10,990,1.175771971496437,842.0,842,842
la20,10,10,1000,1.1086474501108647,902.0,902,902
la21,15,10,1215,1.161567877629063,1046.0,1046,1046
la22,15,10,1031,1.1121898597626754,927.0,927,927
la23,15,10,1137,1.1017441860465116,1032.0,1032,1032
la24,15,10,1083,1.1582887700534759,935.0,935,935
la25,15,10,1125,1.1514841351074718,977.0,977,977
la26,20,10,1409,1.1568144499178983,1218.0,1218,1218
la27,20,10,1491,1.2072874493927126,1235.0,1235,1235
la28,20,10,1589,1.3067434210526316,1216.0,1216,1216
la29,20,10,1370,1.1892361111111112,1152.0,1152,1152
la30,20,10,1518,1.1202952029520294,1355.0,1355,1355
la31,30,10,1904,1.0672645739910314,1784.0,1784,1784
la32,30,10,1884,1.0183783783783784,1850.0,1850,1850
la33,30,10,1785,1.0383944153577662,1719.0,1719,1719
la34,30,10,1824,1.0598489250435794,1721.0,1721,1721
la35,30,10,1998,1.0582627118644068,1888.0,1888,1888
la36,15,15,1598,1.2602523659305993,1268.0,1268,1268
la37,15,15,1569,1.1231209735146743,1397.0,1397,1397
la38,15,15,1420,1.1872909698996656,1196.0,1196,1196
la39,15,15,1471,1.1930251419302513,1233.0,1233,1233
la40,15,15,1476,1.2078559738134207,1222.0,1222,1222
orb01,10,10,1298,1.2256846081208688,1059.0,1059,1059
orb02,10,10,1096,1.2342342342342343,888.0,888,888
orb03,10,10,1299,1.2925373134328357,1005.0,1005,1005
orb04,10,10,1246,1.2398009950248756,1005.0,1005,1005
orb05,10,10,1102,1.2423900789177,887.0,887,887
orb06,10,10,1291,1.2782178217821782,1010.0,1010,1010
orb07,10,10,459,1.1561712846347607,397.0,397,397
orb08,10,10,1078,1.1991101223581757,899.0,899,899
orb09,10,10,1154,1.2355460385438972,934.0,934,934
orb10,10,10,1178,1.2478813559322033,944.0,944,944
swv01,20,10,1919,1.3638948116560057,1407.0,1407,1407
swv02,20,10,1884,1.2772881355932204,1475.0,1475,1475
swv03,20,10,1884,1.3476394849785407,1398.0,1398,1398
swv04,20,10,1893,1.2930327868852458,1464.0,1464,1464
swv05,20,10,1743,1.2240168539325842,1424.0,1424,1424
swv06,20,15,2004,1.2141775219630415,,1671,1630
swv07,20,15,1928,1.2410685548760862,,1594,1513
swv08,20,15,2156,1.2597137014314927,,1752,1671
swv09,20,15,1967,1.1964720194647203,,1655,1633
swv10,20,15,2092,1.2284204345273046,,1743,1663
swv11,50,10,4132,1.3851827019778746,2983.0,2983,2983
swv12,50,10,4138,1.391158177845016,,2977,2972
swv13,50,10,4206,1.3550257731958764,3104.0,3104,3104
swv14,50,10,4092,1.3787061994609164,2968.0,2968,2968
swv15,50,10,3972,1.3767764298093588,2885.0,2885,2885
swv16,50,10,2924,1.0,2924.0,2924,2924
swv17,50,10,2794,1.0,2794.0,2794,2794
swv18,50,10,2852,1.0,2852.0,2852,2852
swv19,50,10,2958,1.040450228631727,2843.0,2843,2843
swv20,50,10,2858,1.0123981579879562,2823.0,2823,2823
yn1,20,20,1037,1.1730769230769231,884.0,884,884
yn2,20,20,1069,1.2051860202931228,,904,870
yn3,20,20,1049,1.1981724728726442,,892,859
yn4,20,20,1137,1.198734844491302,,968,929
ta01,15,15,1512,1.2282696994313567,1231.0,1231,1231
ta02,15,15,1449,1.164790996784566,1244.0,1244,1244
ta03,15,15,1432,1.1756978653530377,1218.0,1218,1218
ta04,15,15,1504,1.28,1175.0,1175,1175
ta05,15,15,1377,1.125,1224.0,1224,1224
ta06,15,15,1475,1.191437802907916,1238.0,1238,1238
ta07,15,15,1508,1.2290138549307252,1227.0,1227,1227
ta08,15,15,1439,1.182415776499589,1217.0,1217,1217
ta09,15,15,1519,1.1923076923076923,1274.0,1274,1274
ta10,15,15,1442,1.161966156325544,1241.0,1241,1241
ta11,20,15,1655,1.2196020633750921,1357.0,1357,1357
ta12,20,15,1627,1.1901975128017557,1367.0,1367,1367
ta13,20,15,1759,1.3107302533532041,1342.0,1342,1342
ta14,20,15,1526,1.1345724907063197,1345.0,1345,1345
ta15,20,15,1692,1.2636295743091859,1339.0,1339,1339
ta16,20,15,1612,1.1852941176470588,1360.0,1360,1360
ta17,20,15,1689,1.155266757865937,1462.0,1462,1462
ta18,20,15,1690,1.2188965019834115,,1396,1377
ta19,20,15,1556,1.1681681681681682,1332.0,1332,1332
ta20,20,15,1714,1.271513353115727,1348.0,1348,1348
ta21,20,20,2060,1.2545676004872106,1642.0,1642,1642
ta22,20,20,1947,1.2318886428345461,,1600,1561
ta23,20,20,1857,1.2078048780487805,,1557,1518
ta24,20,20,1991,1.2110705596107056,1644.0,1644,1644
ta25,20,20,1895,1.2020298128766254,,1595,1558
ta26,20,20,1873,1.158317872603587,,1643,1591
ta27,20,20,2032,1.21968787515006,,1680,1652
ta28,20,20,1992,1.2426699937616967,1603.0,1603,1603
ta29,20,20,1914,1.1969981238273921,,1625,1573
ta30,20,20,2016,1.2993876893329037,,1584,1519
ta31,30,15,2153,1.2205215419501134,1764.0,1764,1764
ta32,30,15,2202,1.2377740303541316,,1784,1774
ta33,30,15,2321,1.3006444382179883,,1791,1778
ta34,30,15,2159,1.1807492480175006,,1829,1828
ta35,30,15,2297,1.1444942700548082,2007.0,2007,2007
ta36,30,15,2089,1.148433205057724,1819.0,1819,1819
ta37,30,15,2208,1.2467532467532467,1771.0,1771,1771
ta38,30,15,1987,1.1876867901972505,1673.0,1673,1673
ta39,30,15,2170,1.2089136490250696,1795.0,1795,1795
ta40,30,15,2092,1.2602409638554217,,1669,1651
ta41,30,20,2551,1.3045256967527488,,2005,1906
ta42,30,20,2424,1.2687778068568438,,1937,1884
ta43,30,20,2293,1.2547195622435021,,1846,1809
ta44,30,20,2406,1.225362872421696,,1979,1948
ta45,30,20,2514,1.257943457593195,,2000,1997
ta46,30,20,2477,1.2506942691239586,,2004,1957
ta47,30,20,2366,1.2803030303030303,,1889,1807
ta48,30,20,2379,1.2361652377240842,,1937,1912
ta49,30,20,2487,1.2757117209540907,,1968,1931
ta50,30,20,2461,1.310436634717785,,1923,1833
ta51,50,15,3211,1.1634057971014493,2760.0,2760,2760
ta52,50,15,3129,1.1353410740203194,2756.0,2756,2756
