instance_name,num_jobs,num_machines,makespan,optimality_gap,optimum,upper_bound,lower_bound
abz5,10,10,1328,1.0761750405186385,1234.0,1234,1234
abz6,10,10,982,1.0413573700954402,943.0,943,943
abz7,20,15,757,1.1539634146341464,656.0,656,656
abz8,20,15,819,1.250381679389313,,665,645
abz9,20,15,835,1.2315634218289087,678.0,678,678
ft06,6,6,59,1.0727272727272728,55.0,55,55
ft10,10,10,1007,1.0827956989247312,930.0,930,930
ft20,20,5,1353,1.16137339055794,1165.0,1165,1165
la01,10,5,666,1.0,666.0,666,666
la02,10,5,784,1.1969465648854962,655.0,655,655
la03,10,5,669,1.120603015075377,597.0,597,597
la04,10,5,702,1.1898305084745762,590.0,590,590
la05,10,5,593,1.0,593.0,593,593
la06,15,5,926,1.0,926.0,926,926
la07,15,5,944,1.060674157303371,890.0,890,890
la08,15,5,928,1.0753186558516803,863.0,863,863
la09,15,5,951,1.0,951.0,951,951
la10,15,5,958,1.0,958.0,958,958
la11,20,5,1222,1.0,1222.0,1222,1222
la12,20,5,1039,1.0,1039.0,1039,1039
la13,20,5,1150,1.0,1150.0,1150,1150
la14,20,5,1292,1.0,1292.0,1292,1292
la15,20,5,1363,1.1292460646230322,1207.0,1207,1207
la16,10,10,1032,1.092063492063492,945.0,945,945
la17,10,10,886,1.1301020408163265,784.0,784,784
la18,10,10,953,1.1238207547169812,848.0,848,848
la19,10,10,969,1.1508313539192399,842.0,842,842
la20,10,10,1000,1.1086474501108647,902.0,902,902
la21,15,10,1175,1.1233269598470363,1046.0,1046,1046
la22,15,10,1118,1.2060409924487594,927.0,927,927
la23,15,10,1138,1.1027131782945736,1032.0,1032,1032
la24,15,10,1022,1.093048128342246,935.0,935,935
la25,15,10,1138,1.164790174002047,977.0,977,977
la26,20,10,1337,1.0977011494252873,1218.0,1218,1218
la27,20,10,1383,1.119838056680162,1235.0,1235,1235
la28,20,10,1425,1.171875,1216.0,1216,1216
la29,20,10,1314,1.140625,1152.0,1152,1152
la30,20,10,1401,1.0339483394833948,1355.0,1355,1355
la31,30,10,1784,1.0,1784.0,1784,1784
la32,30,10,1850,1.0,1850.0,1850,1850
la33,30,10,1719,1.0,1719.0,1719,1719
la34,30,10,1721,1.0,1721.0,1721,1721
la35,30,10,1921,1.017478813559322,1888.0,1888,1888
la36,15,15,1527,1.2042586750788644,1268.0,1268,1268
la37,15,15,1592,1.1395848246241946,1397.0,1397,1397
la38,15,15,1495,1.25,1196.0,1196,1196
la39,15,15,1469,1.1914030819140309,1233.0,1233,1233
la40,15,15,1418,1.160392798690671,1222.0,1222,1222
orb01,10,10,1265,1.19452313503305,1059.0,1059,1059
orb02,10,10,987,1.1114864864864864,888.0,888,888
orb03,10,10,1105,1.099502487562189,1005.0,1005,1005
orb04,10,10,1082,1.0766169154228855,1005.0,1005,1005
orb05,10,10,1011,1.1397970687711387,887.0,887,887
orb06,10,10,1290,1.2772277227722773,1010.0,1010,1010
orb07,10,10,477,1.2015113350125946,397.0,397,397
orb08,10,10,1064,1.1835372636262513,899.0,899,899
orb09,10,10,1091,1.1680942184154175,934.0,934,934
orb10,10,10,1051,1.1133474576271187,944.0,944,944
swv01,20,10,1656,1.1769722814498933,1407.0,1407,1407
swv02,20,10,1694,1.1484745762711865,1475.0,1475,1475
swv03,20,10,1713,1.2253218884120172,1398.0,1398,1398
swv04,20,10,1810,1.2363387978142077,1464.0,1464,1464
swv05,20,10,1661,1.166432584269663,1424.0,1424,1424
swv06,20,15,2099,1.2717358376249621,,1671,1630
swv07,20,15,1888,1.2153202446089475,,1594,1513
swv08,20,15,2124,1.2410166520595969,,1752,1671
swv09,20,15,1962,1.1934306569343065,,1655,1633
swv10,20,15,2014,1.1826189078097475,,1743,1663
swv11,50,10,3416,1.1451558833389206,2983.0,2983,2983
swv12,50,10,3493,1.1743150109262062,,2977,2972
swv13,50,10,3518,1.1333762886597938,3104.0,3104,3104
swv14,50,10,3442,1.1597035040431267,2968.0,2968,2968
swv15,50,10,3403,1.1795493934142114,2885.0,2885,2885
swv16,50,10,2924,1.0,2924.0,2924,2924
swv17,50,10,2794,1.0,2794.0,2794,2794
swv18,50,10,2852,1.0,2852.0,2852,2852
swv19,50,10,2843,1.0,2843.0,2843,2843
swv20,50,10,2823,1.0,2823.0,2823,2823
yn1,20,20,1005,1.1368778280542986,884.0,884,884
yn2,20,20,1113,1.2547914317925593,,904,870
yn3,20,20,1047,1.1958880639634495,,892,859
yn4,20,20,1168,1.231418028465999,,968,929
ta01,15,15,1420,1.1535337124289196,1231.0,1231,1231
ta02,15,15,1470,1.1816720257234727,1244.0,1244,1244
ta03,15,15,1418,1.1642036124794746,1218.0,1218,1218
ta04,15,15,1406,1.196595744680851,1175.0,1175,1175
ta05,15,15,1547,1.2638888888888888,1224.0,1224,1224
ta06,15,15,1411,1.1397415185783522,1238.0,1238,1238
ta07,15,15,1515,1.234718826405868,1227.0,1227,1227
ta08,15,15,1392,1.14379622021364,1217.0,1217,1217
ta09,15,15,1600,1.2558869701726845,1274.0,1274,1274
ta10,15,15,1441,1.16116035455278,1241.0,1241,1241
ta11,20,15,1614,1.189388356669123,1357.0,1357,1357
ta12,20,15,1677,1.2267739575713241,1367.0,1367,1367
ta13,20,15,1689,1.258569299552906,1342.0,1342,1342
ta14,20,15,1520,1.1301115241635689,1345.0,1345,1345
ta15,20,15,1647,1.2300224047796864,1339.0,1339,1339
ta16,20,15,1819,1.3375,1360.0,1360,1360
ta17,20,15,1666,1.1395348837209303,1462.0,1462,1462
ta18,20,15,1625,1.1720158672917418,,1396,1377
ta19,20,15,1548,1.162162162162162,1332.0,1332,1332
ta20,20,15,1602,1.188427299703264,1348.0,1348,1348
ta21,20,20,2064,1.2570036540803897,1642.0,1642,1642
ta22,20,20,1827,1.1559633027522935,,1600,1561
ta23,20,20,1903,1.2377235772357724,,1557,1518
ta24,20,20,1963,1.1940389294403893,1644.0,1644,1644
ta25,20,20,2071,1.3136695210910245,,1595,1558
ta26,20,20,1969,1.217687074829932,,1643,1591
ta27,20,20,1922,1.1536614645858343,,1680,1652
ta28,20,20,2016,1.25764192139738,1603.0,1603,1603
ta29,20,20,2082,1.302063789868668,,1625,1573
