instance_name,num_jobs,num_machines,makespan_spt,optimality_gap_spt,optimum,upper_bound,lower_bound,makespan_mwkr,optimality_gap_mwkr,makespan_mor,optimality_gap_mor,makespan_random,optimality_gap_random,makespan_fifo,optimality_gap_fifo
ta38,30,15,2155,1.2881052002390914,1673.0,1673,1673,2050,1.2253436939629407,2179,1.3024506873879258,2352,1.405857740585774,2179,1.3024506873879258
ta39,30,15,2477,1.3799442896935934,1795.0,1795,1795,2221,1.2373259052924792,2167,1.207242339832869,2486,1.384958217270195,2167,1.207242339832869
ta40,30,15,2301,1.386144578313253,,1669,1651,2205,1.3283132530120483,2028,1.2216867469879518,2227,1.341566265060241,2028,1.2216867469879518
ta41,30,20,2499,1.2779340322168244,,2005,1906,2620,1.3398107900792635,2538,1.2978777806187676,2694,1.3776527742265405,2538,1.2978777806187676
ta42,30,20,2710,1.4184768385239466,,1937,1884,2416,1.264590421355666,2440,1.2771525778591992,2791,1.4608741167233708,2440,1.2771525778591992
ta43,30,20,2434,1.3318741450068399,,1846,1809,2345,1.283173734610123,2432,1.3307797537619699,2676,1.464295485636115,2432,1.3307797537619699
ta44,30,20,2906,1.4800101858925387,,1979,1948,2544,1.2956455309396486,2426,1.2355487649605297,2652,1.3506493506493507,2426,1.2355487649605297
ta45,30,20,2640,1.320990743057293,,2000,1997,2524,1.2629472104078059,2487,1.2444333249937454,2881,1.441581185889417,2487,1.2444333249937454
ta46,30,20,2667,1.3466296389800556,,2004,1957,2447,1.2355465791466802,2490,1.2572582681141127,2785,1.406210552890684,2490,1.2572582681141127
ta47,30,20,2620,1.4177489177489178,,1889,1807,2263,1.2245670995670996,2286,1.2370129870129871,2540,1.3744588744588744,2286,1.2370129870129871
ta48,30,20,2620,1.3613925694985711,,1937,1912,2356,1.224214081579631,2371,1.2320083138477527,2667,1.3858144972720188,2371,1.2320083138477527
ta49,30,20,2666,1.3675301359322902,,1968,1931,2382,1.2218517568607334,2397,1.229546037445499,2496,1.28032828930495,2397,1.229546037445499
ta50,30,20,2429,1.2933972310969115,,1923,1833,2493,1.3274760383386581,2469,1.3146964856230032,2372,1.263045793397231,2469,1.3146964856230032
