"instance_name","num_jobs","num_machines","makespan","optimality_gap","optimum","upper_bound","lower_bound"
"abz5","10","10","1394","1.1296596434359805","1234","1234","1234"
"abz6","10","10","1013","1.0742311770943795","943","943","943"
"abz7","20","15","808","1.2317073170731707","656","656","656"
"abz8","20","15","886","1.3526717557251908","null","665","645"
"abz9","20","15","836","1.233038348082596","678","678","678"
"ft06","6","6","68","1.2363636363636363","55","55","55"
"ft10","10","10","1250","1.3440860215053763","930","930","930"
"ft20","20","5","1349","1.1579399141630902","1165","1165","1165"
"la01","10","5","813","1.2207207207207207","666","666","666"
"la02","10","5","813","1.2412213740458016","655","655","655"
"la03","10","5","662","1.1088777219430486","597","597","597"
"la04","10","5","631","1.0694915254237287","590","590","590"
"la05","10","5","593","1","593","593","593"
"la06","15","5","1023","1.1047516198704104","926","926","926"
"la07","15","5","1042","1.1707865168539326","890","890","890"
"la08","15","5","980","1.1355735805330243","863","863","863"
"la09","15","5","951","1","951","951","951"
"la10","15","5","1064","1.1106471816283925","958","958","958"
"la11","20","5","1243","1.0171849427168576","1222","1222","1222"
"la12","20","5","1072","1.0317613089509143","1039","1039","1039"
"la13","20","5","1152","1.0017391304347827","1150","1150","1150"
"la14","20","5","1383","1.0704334365325077","1292","1292","1292"
"la15","20","5","1372","1.1367025683512841","1207","1207","1207"
"la16","10","10","1131","1.1968253968253968","945","945","945"
"la17","10","10","899","1.1466836734693877","784","784","784"
"la18","10","10","936","1.1037735849056605","848","848","848"
"la19","10","10","1011","1.200712589073634","842","842","842"
"la20","10","10","1206","1.3370288248337028","902","902","902"
"la21","15","10","1310","1.2523900573613767","1046","1046","1046"
"la22","15","10","1267","1.366774541531823","927","927","927"
"la23","15","10","1152","1.1162790697674418","1032","1032","1032"
"la24","15","10","1040","1.1122994652406417","935","935","935"
"la25","15","10","1146","1.172978505629478","977","977","977"
"la26","20","10","1454","1.19376026272578","1218","1218","1218"
"la27","20","10","1533","1.2412955465587046","1235","1235","1235"
"la28","20","10","1435","1.1800986842105263","1216","1216","1216"
"la29","20","10","1400","1.2152777777777777","1152","1152","1152"
"la30","20","10","1675","1.2361623616236161","1355","1355","1355"
"la31","30","10","1893","1.0610986547085202","1784","1784","1784"
"la32","30","10","2372","1.2821621621621622","1850","1850","1850"
"la33","30","10","1785","1.0383944153577662","1719","1719","1719"
"la34","30","10","1940","1.127251597908193","1721","1721","1721"
"la35","30","10","2075","1.0990466101694916","1888","1888","1888"
"la36","15","15","1530","1.2066246056782335","1268","1268","1268"
"la37","15","15","1735","1.2419470293486041","1397","1397","1397"
"la38","15","15","1704","1.4247491638795986","1196","1196","1196"
"la39","15","15","1644","1.3333333333333333","1233","1233","1233"
"la40","15","15","1410","1.1538461538461537","1222","1222","1222"
"orb01","10","10","1362","1.2861189801699717","1059","1059","1059"
"orb02","10","10","1025","1.1542792792792793","888","888","888"
"orb03","10","10","1325","1.318407960199005","1005","1005","1005"
"orb04","10","10","1072","1.0666666666666667","1005","1005","1005"
"orb05","10","10","1036","1.1679819616685456","887","887","887"
"orb06","10","10","1287","1.2742574257425743","1010","1010","1010"
"orb07","10","10","474","1.1939546599496222","397","397","397"
"orb08","10","10","1185","1.318131256952169","899","899","899"
"orb09","10","10","1115","1.1937901498929335","934","934","934"
"orb10","10","10","1073","1.1366525423728813","944","944","944"
"swv01","20","10","1848","1.3134328358208955","1407","1407","1407"
"swv02","20","10","1772","1.2013559322033898","1475","1475","1475"
"swv03","20","10","1627","1.1638054363376251","1398","1398","1398"
"swv04","20","10","1796","1.226775956284153","1464","1464","1464"
"swv05","20","10","1813","1.2731741573033708","1424","1424","1424"
"swv06","20","15","2189","1.3262647682520448","null","1671","1630"
"swv07","20","15","2177","1.4013517862890248","null","1594","1513"
"swv08","20","15","2482","1.4501898919076832","null","1752","1671"
"swv09","20","15","2332","1.4184914841849148","null","1655","1633"
"swv10","20","15","2289","1.344098649442161","null","1743","1663"
"swv11","50","10","4271","1.4317800871605766","2983","2983","2983"
"swv12","50","10","4301","1.4459573037485292","null","2977","2972"
"swv13","50","10","4503","1.450708762886598","3104","3104","3104"
"swv14","50","10","4109","1.384433962264151","2968","2968","2968"
"swv15","50","10","4256","1.4752166377816291","2885","2885","2885"
"swv16","50","10","2964","1.0136798905608755","2924","2924","2924"
"swv17","50","10","2820","1.0093056549749464","2794","2794","2794"
"swv18","50","10","2852","1","2852","2852","2852"
"swv19","50","10","3049","1.072458670418572","2843","2843","2843"
"swv20","50","10","2852","1.010272759475735","2823","2823","2823"
"yn1","20","20","1142","1.2918552036199096","884","884","884"
"yn2","20","20","1127","1.2705749718151071","null","904","870"
"yn3","20","20","1200","1.3706453455168475","null","892","859"
"yn4","20","20","1231","1.297838692672641","null","968","929"
"ta01","15","15","1431","1.1624695369618196","1231","1231","1231"
"ta02","15","15","1495","1.2017684887459807","1244","1244","1244"
"ta03","15","15","1522","1.2495894909688012","1218","1218","1218"
"ta04","15","15","1401","1.192340425531915","1175","1175","1175"
"ta05","15","15","1572","1.2843137254901962","1224","1224","1224"
"ta06","15","15","1666","1.345718901453958","1238","1238","1238"
"ta07","15","15","1551","1.2640586797066016","1227","1227","1227"
"ta08","15","15","1442","1.1848808545603944","1217","1217","1217"
"ta09","15","15","1525","1.1970172684458398","1274","1274","1274"
"ta10","15","15","1551","1.2497985495568091","1241","1241","1241"
"ta11","20","15","1863","1.3728813559322033","1357","1357","1357"
"ta12","20","15","1636","1.196781272860278","1367","1367","1367"
