num_jobs,num_machines,makespan,optimality_gap,optimum,upper_bound,lower_bound,makespan_spt,optimality_gap_spt,makespan_mwkr,optimality_gap_mwkr,makespan_mor,optimality_gap_mor,makespan_random,optimality_gap_random,makespan_fifo,optimality_gap_fifo
10,5,701.2,0.13214312120999785,620.2,620.2,620.2,713.0,0.1480886838982869,719.8,0.1603013512637841,720.0,0.15960617472715416,788.0,0.26978603671622775,720.0,0.15960617472715416
10,10,1046.6666666666667,0.14457474636926224,914.2222222222222,914.2222222222222,914.2222222222222,1106.6666666666667,0.21263387499004516,1090.388888888889,0.19299667240920682,1129.0,0.23540363883071475,1168.5555555555557,0.2807196936534307,1129.0,0.23540363883071475
15,5,931.6,0.01596105646530761,917.6,917.6,917.6,1054.0,0.14861362021620622,966.8,0.05489166329571673,952.2,0.03931230226411655,1084.2,0.18440122791295885,952.2,0.03931230226411655
15,10,1120.6,0.13918095286222337,983.4,983.4,983.4,1263.6,0.28688187234801826,1159.0,0.17832561051064344,1215.0,0.23666927625850143,1265.6,0.2884635672272774,1215.0,0.23666927625850143
15,15,1441.4,0.16260651087743547,1240.3333333333333,1240.3333333333333,1240.3333333333333,1555.2666666666667,0.2545480066234822,1473.4666666666667,0.18839155623698722,1484.2666666666667,0.1970884686764525,1638.6,0.32177732571777434,1484.2666666666667,0.1970884686764525
20,5,1216.0,0.032329730340278674,1179.1666666666667,1179.1666666666667,1179.1666666666667,1330.6666666666667,0.12889093030899876,1284.5,0.09116096463079748,1290.0,0.09399592031698734,1316.1666666666667,0.11833362089201123,1290.0,0.09399592031698734
20,10,1579.3,0.17954216181337454,1334.4,1334.4,1334.4,1728.5,0.2984407284669418,1682.9,0.25561197743069064,1753.0,0.3067801401970375,1784.7,0.33142813487736145,1753.0,0.3067801401970375
20,15,1605.888888888889,0.2052318236614387,1235.090909090909,1336.7777777777778,1317.6666666666667,1772.2777777777778,0.33515739767798064,1694.388888888889,0.2678071817676455,1733.5,0.2931095295139788,1784.1666666666667,0.3419437182651818,1733.5,0.2931095295139788
20,20,1674.2142857142858,0.19495535035469116,1443.25,1415.7857142857142,1385.9285714285713,1816.9285714285713,0.3001200135255632,1719.0,0.22571606138192798,1726.357142857143,0.23402693316213694,1874.7142857142858,0.3403688504265757,1726.357142857143,0.23402693316213694
30,10,1827.4,0.02012901985070621,1792.4,1792.4,1792.4,2041.0,0.13887335095496672,1946.8,0.08656627942714494,1909.6,0.0650039669624916,2157.0,0.20262687992383105,1909.6,0.0650039669624916
30,15,2109.0,0.1812165185289546,1804.8333333333333,1790.2,1786.0,2419.3,0.3543236366433703,2214.8,0.24064226227465896,2195.8,0.2297276316916835,2415.9,0.352997637138337,2195.8,0.2297276316916835
30,20,2355.0,0.2243911989109379,,1948.8,1898.4,2619.1,0.3615984437954189,2439.0,0.26798232428853097,2433.6,0.26563142942375667,2655.4,0.3804910920448552,2433.6,0.26563142942375667
50,10,3334.6,0.14065967461049977,2908.4444444444443,2915.3,2914.8,3414.9,0.1703429978819108,3606.2,0.2325969489146127,3839.8,0.31116042856491893,3666.3,0.25466428651433287,3839.8,0.31116042856491893
50,15,3079.1,0.11067355685816507,2773.8,2773.8,2773.8,3441.0,0.2410894891731738,3240.0,0.16859806036403957,3254.5,0.1736611735758296,3511.6,0.2656471478773025,3254.5,0.1736611735758296
50,20,3243.2,0.14013583712044866,2843.9,2843.9,2843.9,3570.8,0.2553963324961882,3352.8,0.17946684183063932,3346.9,0.1768431535554776,3661.0,0.2881052805612649,3346.9,0.1768431535554776
100,20,5634.5,0.05007890679015738,5365.7,5365.7,5365.7,6139.0,0.14408085256029138,5812.2,0.08306047824036385,5856.9,0.09152271645869578,6272.4,0.16914743852310848,5856.9,0.09152271645869578
