num_jobs,num_machines,makespan,optimality_gap,optimum,upper_bound,lower_bound,makespan_spt,optimality_gap_spt,makespan_mwkr,optimality_gap_mwkr,makespan_mor,optimality_gap_mor,makespan_random,optimality_gap_random,makespan_fifo,optimality_gap_fifo
15,15,1413.8,0.15050446417782487,1228.9,1228.9,1228.9,1546.1,0.2588879873259011,1464.3,0.19152318878891236,1481.3,0.20532302207214875,1635.8,0.3310063091373919,1481.3,0.20532302207214875
20,15,1591.2,0.1668242356463511,1361.3333333333333,1364.8,1362.9,1813.5,0.32914645662701525,1683.6,0.23444356428066335,1686.7,0.23644765066902843,1798.6,0.31848681778647203,1686.7,0.23644765066902843
20,20,1878.2,0.17278974943896375,1629.6666666666667,1617.3,1586.1,2067.0,0.2900433816554038,1969.8,0.23002468387319458,1968.3,0.2291209110574044,2139.6,0.33615912496244427,1968.3,0.2291209110574044
30,15,2117.2,0.18597744672239502,1804.8333333333333,1790.2,1786.0,2419.3,0.3543236366433703,2214.8,0.24064226227465896,2195.8,0.2297276316916835,2415.9,0.352997637138337,2195.8,0.2297276316916835
30,20,2337.6,0.21557194788204911,,1948.8,1898.4,2619.1,0.3615984437954189,2439.0,0.26798232428853097,2433.6,0.26563142942375667,2655.4,0.3804910920448552,2433.6,0.26563142942375667
50,15,3122.0,0.12620789621993814,2773.8,2773.8,2773.8,3441.0,0.2410894891731738,3240.0,0.16859806036403957,3254.5,0.1736611735758296,3511.6,0.2656471478773025,3254.5,0.1736611735758296
50,20,3188.8,0.12120182318182912,2843.9,2843.9,2843.9,3570.8,0.2553963324961882,3352.8,0.17946684183063932,3346.9,0.1768431535554776,3661.0,0.2881052805612649,3346.9,0.1768431535554776
100,20,5619.7,0.04733377540899784,5365.7,5365.7,5365.7,6139.0,0.14408085256029138,5812.2,0.08306047824036385,5856.9,0.09152271645869578,6272.4,0.16914743852310848,5856.9,0.09152271645869578
