num_jobs,num_machines,makespan,optimality_gap,optimum,upper_bound,lower_bound,makespan_spt,optimality_gap_spt,makespan_mwkr,optimality_gap_mwkr,makespan_mor,optimality_gap_mor,makespan_random,optimality_gap_random,makespan_fifo,optimality_gap_fifo
6,6,68.0,1.2363636363636363,55.0,55.0,55.0,88.0,1.6,61.0,1.1090909090909091,59.0,1.0727272727272728,72.0,1.309090909090909,59.0,1.0727272727272728
10,5,702.4,1.12806226842666,620.2,620.2,620.2,713.0,1.1480886838982869,719.8,1.160301351263784,720.0,1.1596061747271542,788.0,1.2697860367162277,720.0,1.1596061747271542
10,10,1099.6666666666667,1.2024023218909536,914.2222222222222,914.2222222222222,914.2222222222222,1106.6666666666667,1.2126338749900452,1090.388888888889,1.192996672409207,1129.0,1.2354036388307148,1168.5555555555557,1.2807196936534306,1129.0,1.2354036388307148
15,5,1012.0,1.104351779777152,917.6,917.6,917.6,1054.0,1.148613620216206,966.8,1.0548916632957168,952.2,1.0393123022641166,1084.2,1.1844012279129588,952.2,1.0393123022641166
15,10,1183.0,1.2041443279061521,983.4,983.4,983.4,1263.6,1.2868818723480182,1159.0,1.1783256105106434,1215.0,1.2366692762585014,1265.6,1.2884635672272773,1215.0,1.2366692762585014
15,15,1545.2666666666667,1.246163747167216,1240.3333333333333,1240.3333333333333,1240.3333333333333,1555.2666666666667,1.2545480066234822,1473.4666666666667,1.1883915562369871,1484.2666666666667,1.1970884686764525,1638.6,1.3217773257177745,1484.2666666666667,1.1970884686764525
20,5,1261.8333333333333,1.0692935501915728,1179.1666666666667,1179.1666666666667,1179.1666666666667,1330.6666666666667,1.1288909303089987,1284.5,1.0911609646307976,1290.0,1.0939959203169873,1316.1666666666667,1.1183336208920112,1290.0,1.0939959203169873
20,10,1635.3,1.2245138950845837,1334.4,1334.4,1334.4,1728.5,1.2984407284669417,1682.9,1.2556119774306906,1753.0,1.3067801401970374,1784.7,1.3314281348773616,1753.0,1.3067801401970374
20,15,1774.4444444444443,1.3287345348744877,1235.090909090909,1336.7777777777778,1317.6666666666667,1772.2777777777778,1.3351573976779807,1694.388888888889,1.2678071817676455,1733.5,1.2931095295139787,1784.1666666666667,1.3419437182651819,1733.5,1.2931095295139787
20,20,1882.0714285714287,1.339425270274501,1443.25,1415.7857142857142,1385.9285714285713,1816.9285714285713,1.300120013525563,1719.0,1.2257160613819278,1726.357142857143,1.2340269331621367,1874.7142857142858,1.3403688504265756,1726.357142857143,1.2340269331621367
30,10,2013.0,1.1215906880612265,1792.4,1792.4,1792.4,2041.0,1.1388733509549667,1946.8,1.086566279427145,1909.6,1.0650039669624918,2157.0,1.202626879923831,1909.6,1.0650039669624918
30,15,2236.8,1.2526074527177462,1804.8333333333333,1790.2,1786.0,2419.3,1.3543236366433704,2214.8,1.240642262274659,2195.8,1.2297276316916836,2415.9,1.352997637138337,2195.8,1.2297276316916836
30,20,2579.4,1.340730135905071,,1948.8,1898.4,2619.1,1.361598443795419,2439.0,1.2679823242885309,2433.6,1.2656314294237567,2655.4,1.3804910920448552,2433.6,1.2656314294237567
50,10,3597.7,1.2293813729271612,2908.4444444444443,2915.3,2914.8,3414.9,1.1703429978819107,3606.2,1.2325969489146127,3839.8,1.311160428564919,3666.3,1.2546642865143327,3839.8,1.311160428564919
50,15,3233.5,1.1658114168191915,2773.8,2773.8,2773.8,3441.0,1.2410894891731739,3240.0,1.1685980603640396,3254.5,1.1736611735758298,3511.6,1.2656471478773024,3254.5,1.1736611735758298
50,20,3443.1,1.2115151185337079,2843.9,2843.9,2843.9,3570.8,1.2553963324961883,3352.8,1.1794668418306393,3346.9,1.1768431535554775,3661.0,1.288105280561265,3346.9,1.1768431535554775
100,20,5876.9,1.0952142759121481,5365.7,5365.7,5365.7,6139.0,1.1440808525602915,5812.2,1.0830604782403639,5856.9,1.0915227164586958,6272.4,1.1691474385231087,5856.9,1.0915227164586958
