instance_name,num_jobs,num_machines,makespan,optimality_gap,optimum,upper_bound,lower_bound
abz5,10,10,1403,1.1369529983792546,1234.0,1234,1234
abz6,10,10,982,1.0413573700954402,943.0,943,943
abz7,20,15,747,1.138719512195122,656.0,656,656
abz8,20,15,754,1.151145038167939,,665,645
abz9,20,15,818,1.2064896755162242,678.0,678,678
ft06,6,6,68,1.2363636363636363,55.0,55,55
ft10,10,10,1094,1.1763440860215053,930.0,930,930
ft20,20,5,1343,1.1527896995708153,1165.0,1165,1165
la01,10,5,720,1.0810810810810811,666.0,666,666
la02,10,5,784,1.1969465648854962,655.0,655,655
la03,10,5,669,1.120603015075377,597.0,597,597
la04,10,5,762,1.2915254237288136,590.0,590,590
la05,10,5,593,1.0,593.0,593,593
la06,15,5,926,1.0,926.0,926,926
la07,15,5,964,1.0831460674157303,890.0,890,890
la08,15,5,887,1.0278099652375434,863.0,863,863
la09,15,5,951,1.0,951.0,951,951
la10,15,5,958,1.0,958.0,958,958
la11,20,5,1238,1.0130932896890343,1222.0,1222,1222
la12,20,5,1039,1.0,1039.0,1039,1039
la13,20,5,1150,1.0,1150.0,1150,1150
la14,20,5,1292,1.0,1292.0,1292,1292
la15,20,5,1337,1.1077050538525268,1207.0,1207,1207
la16,10,10,1132,1.1978835978835978,945.0,945,945
la17,10,10,838,1.0688775510204083,784.0,784,784
la18,10,10,1004,1.1839622641509433,848.0,848,848
la19,10,10,949,1.1270783847980999,842.0,842,842
la20,10,10,972,1.0776053215077606,902.0,902,902
la21,15,10,1214,1.1606118546845123,1046.0,1046,1046
la22,15,10,1158,1.249190938511327,927.0,927,927
la23,15,10,1115,1.0804263565891472,1032.0,1032,1032
la24,15,10,1054,1.1272727272727272,935.0,935,935
la25,15,10,1103,1.1289662231320368,977.0,977,977
la26,20,10,1373,1.1272577996715927,1218.0,1218,1218
la27,20,10,1418,1.1481781376518219,1235.0,1235,1235
la28,20,10,1422,1.169407894736842,1216.0,1216,1216
la29,20,10,1318,1.1440972222222223,1152.0,1152,1152
la30,20,10,1451,1.0708487084870848,1355.0,1355,1355
la31,30,10,1893,1.0610986547085202,1784.0,1784,1784
la32,30,10,1875,1.0135135135135136,1850.0,1850,1850
la33,30,10,1727,1.004653868528214,1719.0,1719,1719
la34,30,10,1758,1.021499128413713,1721.0,1721,1721
la35,30,10,1888,1.0,1888.0,1888,1888
la36,15,15,1477,1.164826498422713,1268.0,1268,1268
la37,15,15,1596,1.1424481030780242,1397.0,1397,1397
la38,15,15,1373,1.1479933110367893,1196.0,1196,1196
la39,15,15,1441,1.1686942416869424,1233.0,1233,1233
la40,15,15,1412,1.1554828150572831,1222.0,1222,1222
orb01,10,10,1251,1.1813031161473089,1059.0,1059,1059
orb02,10,10,977,1.1002252252252251,888.0,888,888
orb03,10,10,1176,1.1701492537313434,1005.0,1005,1005
orb04,10,10,1155,1.1492537313432836,1005.0,1005,1005
orb05,10,10,1091,1.229988726042841,887.0,887,887
orb06,10,10,1169,1.1574257425742573,1010.0,1010,1010
orb07,10,10,465,1.1712846347607053,397.0,397,397
orb08,10,10,1113,1.2380422691879867,899.0,899,899
orb09,10,10,1142,1.222698072805139,934.0,934,934
orb10,10,10,1099,1.1641949152542372,944.0,944,944
swv01,20,10,1762,1.252309879175551,1407.0,1407,1407
swv02,20,10,1796,1.2176271186440677,1475.0,1475,1475
swv03,20,10,1722,1.2317596566523605,1398.0,1398,1398
swv04,20,10,1839,1.2561475409836065,1464.0,1464,1464
swv05,20,10,1716,1.2050561797752808,1424.0,1424,1424
swv06,20,15,2168,1.3135413511057255,,1671,1630
swv07,20,15,1835,1.1812037335049888,,1594,1513
swv08,20,15,2238,1.3076248904469763,,1752,1671
swv09,20,15,2236,1.3600973236009732,,1655,1633
swv10,20,15,2232,1.3106283029947152,,1743,1663
swv11,50,10,3791,1.2708682534361382,2983.0,2983,2983
swv12,50,10,3935,1.3229114136829718,,2977,2972
swv13,50,10,4105,1.322487113402062,3104.0,3104,3104
swv14,50,10,3869,1.3035714285714286,2968.0,2968,2968
swv15,50,10,3761,1.303639514731369,2885.0,2885,2885
swv16,50,10,2924,1.0,2924.0,2924,2924
swv17,50,10,2794,1.0,2794.0,2794,2794
swv18,50,10,2852,1.0,2852.0,2852,2852
swv19,50,10,2863,1.007034822370735,2843.0,2843,2843
swv20,50,10,2823,1.0,2823.0,2823,2823
yn1,20,20,1038,1.1742081447963801,884.0,884,884
yn2,20,20,1047,1.1803833145434048,,904,870
yn3,20,20,1013,1.1570531125071388,,892,859
yn4,20,20,1143,1.2050606220347917,,968,929
ta01,15,15,1467,1.191714053614947,1231.0,1231,1231
ta02,15,15,1378,1.107717041800643,1244.0,1244,1244
ta03,15,15,1345,1.1042692939244663,1218.0,1218,1218
ta04,15,15,1384,1.177872340425532,1175.0,1175,1175
