instance_name,num_jobs,num_machines,makespan,optimality_gap,optimum,upper_bound,lower_bound
abz5,10,10,1391,1.127228525121556,1234.0,1234,1234
abz6,10,10,1078,1.1431601272534464,943.0,943,943
abz7,20,15,753,1.1478658536585367,656.0,656,656
abz8,20,15,819,1.250381679389313,,665,645
abz9,20,15,843,1.2433628318584071,678.0,678,678
ft06,6,6,59,1.0727272727272728,55.0,55,55
ft10,10,10,1086,1.167741935483871,930.0,930,930
ft20,20,5,1349,1.1579399141630902,1165.0,1165,1165
la01,10,5,680,1.021021021021021,666.0,666,666
la02,10,5,791,1.2076335877862596,655.0,655,655
la03,10,5,735,1.2311557788944723,597.0,597,597
la04,10,5,646,1.0949152542372882,590.0,590,590
la05,10,5,593,1.0,593.0,593,593
la06,15,5,926,1.0,926.0,926,926
la07,15,5,943,1.0595505617977528,890.0,890,890
la08,15,5,943,1.0926998841251447,863.0,863,863
la09,15,5,951,1.0,951.0,951,951
la10,15,5,966,1.0083507306889352,958.0,958,958
la11,20,5,1222,1.0,1222.0,1222,1222
la12,20,5,1065,1.02502406159769,1039.0,1039,1039
la13,20,5,1156,1.0052173913043478,1150.0,1150,1150
la14,20,5,1292,1.0,1292.0,1292,1292
la15,20,5,1276,1.0571665285832643,1207.0,1207,1207
la16,10,10,1115,1.17989417989418,945.0,945,945
la17,10,10,894,1.1403061224489797,784.0,784,784
la18,10,10,947,1.116745283018868,848.0,848,848
la19,10,10,969,1.1508313539192399,842.0,842,842
la20,10,10,960,1.06430155210643,902.0,902,902
la21,15,10,1239,1.184512428298279,1046.0,1046,1046
la22,15,10,1004,1.0830636461704424,927.0,927,927
la23,15,10,1043,1.0106589147286822,1032.0,1032,1032
la24,15,10,1093,1.1689839572192513,935.0,935,935
la25,15,10,1192,1.2200614124872058,977.0,977,977
la26,20,10,1392,1.1428571428571428,1218.0,1218,1218
la27,20,10,1388,1.1238866396761134,1235.0,1235,1235
la28,20,10,1348,1.1085526315789473,1216.0,1216,1216
la29,20,10,1463,1.2699652777777777,1152.0,1152,1152
la30,20,10,1536,1.133579335793358,1355.0,1355,1355
la31,30,10,1896,1.062780269058296,1784.0,1784,1784
la32,30,10,1861,1.0059459459459459,1850.0,1850,1850
la33,30,10,1719,1.0,1719.0,1719,1719
la34,30,10,1814,1.05403834979663,1721.0,1721,1721
la35,30,10,1907,1.010063559322034,1888.0,1888,1888
la36,15,15,1443,1.13801261829653,1268.0,1268,1268
la37,15,15,1582,1.1324266284896207,1397.0,1397,1397
la38,15,15,1400,1.1705685618729098,1196.0,1196,1196
la39,15,15,1430,1.159772911597729,1233.0,1233,1233
la40,15,15,1402,1.1472995090016367,1222.0,1222,1222
orb01,10,10,1227,1.158640226628895,1059.0,1059,1059
orb02,10,10,994,1.1193693693693694,888.0,888,888
orb03,10,10,1178,1.172139303482587,1005.0,1005,1005
orb04,10,10,1081,1.0756218905472636,1005.0,1005,1005
orb05,10,10,1087,1.225479143179256,887.0,887,887
orb06,10,10,1203,1.191089108910891,1010.0,1010,1010
orb07,10,10,477,1.2015113350125946,397.0,397,397
orb08,10,10,1077,1.1979977753058955,899.0,899,899
orb09,10,10,1090,1.1670235546038543,934.0,934,934
orb10,10,10,1073,1.1366525423728813,944.0,944,944
swv01,20,10,1599,1.1364605543710022,1407.0,1407,1407
swv02,20,10,1702,1.1538983050847458,1475.0,1475,1475
swv03,20,10,1553,1.1108726752503577,1398.0,1398,1398
swv04,20,10,1765,1.205601092896175,1464.0,1464,1464
swv05,20,10,1630,1.1446629213483146,1424.0,1424,1424
swv06,20,15,2068,1.252953650408967,,1671,1630
swv07,20,15,1839,1.1837785645317027,,1594,1513
swv08,20,15,2059,1.203038270522933,,1752,1671
swv09,20,15,1974,1.2007299270072993,,1655,1633
swv10,20,15,2064,1.2119788608338227,,1743,1663
swv11,50,10,3285,1.1012403620516258,2983.0,2983,2983
swv12,50,10,3375,1.13464447806354,,2977,2972
swv13,50,10,3456,1.1134020618556701,3104.0,3104,3104
swv14,50,10,3275,1.1034366576819408,2968.0,2968,2968
swv15,50,10,3277,1.1358752166377817,2885.0,2885,2885
swv16,50,10,2924,1.0,2924.0,2924,2924
swv17,50,10,2794,1.0,2794.0,2794,2794
swv18,50,10,2951,1.0347124824684433,2852.0,2852,2852
swv19,50,10,2911,1.0239183960604994,2843.0,2843,2843
swv20,50,10,2823,1.0,2823.0,2823,2823
yn1,20,20,1032,1.167420814479638,884.0,884,884
yn2,20,20,1101,1.2412626832018039,,904,870
yn3,20,20,1017,1.1616219303255282,,892,859
yn4,20,20,1134,1.1955719557195572,,968,929
ta01,15,15,1434,1.164906580016247,1231.0,1231,1231
ta02,15,15,1458,1.1720257234726688,1244.0,1244,1244
ta03,15,15,1423,1.1683087027914614,1218.0,1218,1218
ta04,15,15,1422,1.2102127659574469,1175.0,1175,1175
ta05,15,15,1585,1.2949346405228759,1224.0,1224,1224
ta06,15,15,1475,1.191437802907916,1238.0,1238,1238
ta07,15,15,1417,1.1548492257538712,1227.0,1227,1227
ta08,15,15,1393,1.1446179129005751,1217.0,1217,1217
ta09,15,15,1466,1.1507064364207222,1274.0,1274,1274
ta10,15,15,1439,1.1595487510072522,1241.0,1241,1241
ta11,20,15,1635,1.2048636698599853,1357.0,1357,1357
ta12,20,15,1568,1.1470373079736649,1367.0,1367,1367
ta13,20,15,1701,1.267511177347243,1342.0,1342,1342
ta14,20,15,1551,1.1531598513011152,1345.0,1345,1345
ta15,20,15,1586,1.1844660194174756,1339.0,1339,1339
ta16,20,15,1609,1.1830882352941177,1360.0,1360,1360
ta17,20,15,1705,1.1662106703146375,1462.0,1462,1462
ta18,20,15,1724,1.2434186801298233,,1396,1377
ta19,20,15,1640,1.2312312312312312,1332.0,1332,1332
ta20,20,15,1614,1.1973293768545994,1348.0,1348,1348
ta21,20,20,2123,1.2929354445797807,1642.0,1642,1642
ta22,20,20,1844,1.1667193925972794,,1600,1561
ta23,20,20,1883,1.2247154471544714,,1557,1518
ta24,20,20,1891,1.150243309002433,1644.0,1644,1644
ta25,20,20,1950,1.236917221693625,,1595,1558
ta26,20,20,1908,1.1799628942486085,,1643,1591
ta27,20,20,1940,1.1644657863145258,,1680,1652
ta28,20,20,2019,1.2595134123518403,1603.0,1603,1603
ta29,20,20,1975,1.2351469668542838,,1625,1573
ta30,20,20,1904,1.2271994843699645,,1584,1519
ta31,30,15,2207,1.2511337868480725,1764.0,1764,1764
ta32,30,15,2219,1.2473299606520518,,1784,1774
ta33,30,15,2376,1.3314653964695993,,1791,1778
ta34,30,15,2191,1.1982499316379547,,1829,1828
ta35,30,15,2219,1.1056302939711011,2007.0,2007,2007
ta36,30,15,2214,1.217152281473337,1819.0,1819,1819
ta37,30,15,2479,1.3997741389045737,1771.0,1771,1771
ta38,30,15,2101,1.255827854154214,1673.0,1673,1673
ta39,30,15,2359,1.3142061281337047,1795.0,1795,1795
ta40,30,15,2183,1.3150602409638554,,1669,1651
ta41,30,20,2537,1.2973664024546152,,2005,1906
ta42,30,20,2506,1.3116985082439152,,1937,1884
ta43,30,20,2399,1.3127222982216142,,1846,1809
ta44,30,20,2814,1.4331550802139037,,1979,1948
ta45,30,20,2950,1.4761070803102327,,2000,1997
ta46,30,20,2638,1.3319868720020196,,2004,1957
ta47,30,20,2687,1.454004329004329,,1889,1807
ta48,30,20,2999,1.5583268381397766,,1937,1912
ta49,30,20,2676,1.3726596563221338,,1968,1931
ta50,30,20,2372,1.263045793397231,,1923,1833
ta51,50,15,3247,1.1764492753623188,2760.0,2760,2760
ta52,50,15,3196,1.1596516690856313,2756.0,2756,2756
ta53,50,15,3213,1.1825542878174458,2717.0,2717,2717
ta54,50,15,3430,1.2081718915110955,2839.0,2839,2839
ta55,50,15,3078,1.148936170212766,2679.0,2679,2679
ta56,50,15,3419,1.2294138798993168,2781.0,2781,2781
ta57,50,15,3441,1.1692150866462794,2943.0,2943,2943
ta58,50,15,3308,1.1466204506065858,2885.0,2885,2885
ta59,50,15,3158,1.1894538606403013,2655.0,2655,2655
ta60,50,15,3591,1.3187660668380463,2723.0,2723,2723
ta61,50,20,3826,1.3340306834030684,2868.0,2868,2868
ta62,50,20,3628,1.2645521087486928,2869.0,2869,2869
ta63,50,20,3593,1.304174228675136,2755.0,2755,2755
ta64,50,20,3659,1.354182087342709,2702.0,2702,2702
ta65,50,20,3680,1.3504587155963304,2725.0,2725,2725
ta66,50,20,3686,1.2956063268892795,2845.0,2845,2845
ta67,50,20,3994,1.4138053097345133,2825.0,2825,2825
ta68,50,20,3534,1.269396551724138,2784.0,2784,2784
ta69,50,20,4069,1.3249755779876262,3071.0,3071,3071
ta70,50,20,4026,1.3442404006677797,2995.0,2995,2995
ta71,100,20,6529,1.1949121522693997,5464.0,5464,5464
ta72,100,20,6242,1.2047867207102876,5181.0,5181,5181
ta73,100,20,6671,1.1980962643678161,5568.0,5568,5568
ta74,100,20,6266,1.1736280202285072,5339.0,5339,5339
ta75,100,20,6618,1.2273738872403561,5392.0,5392,5392
ta76,100,20,6212,1.1628603519281169,5342.0,5342,5342
ta77,100,20,6570,1.2086092715231789,5436.0,5436,5436
ta78,100,20,6273,1.1629588431590656,5394.0,5394,5394
ta79,100,20,6226,1.162000746547219,5358.0,5358,5358
ta80,100,20,6243,1.2045147597916264,5183.0,5183,5183
